counter, p, k, repitition, day
0,0.000000,1,0,16
1,0.000000,2,0,11
2,0.000000,3,0,21
3,0.000000,4,0,38
4,0.000000,5,0,41
5,0.000000,6,0,31
6,0.000000,7,0,34
7,0.000000,8,0,53
8,0.000000,9,0,97
9,0.000000,10,0,86
10,0.000000,11,0,108
11,0.000000,12,0,102
12,0.000000,13,0,101
13,0.000000,14,0,134
14,0.010000,1,0,17
15,0.010000,2,0,37
16,0.010000,3,0,37
17,0.010000,4,0,27
18,0.010000,5,0,97
19,0.010000,6,0,152
20,0.010000,7,0,87
21,0.010000,8,0,1865
22,0.010000,9,0,1865
23,0.010000,10,0,1865
24,0.010000,11,0,1865
25,0.010000,12,0,1865
26,0.010000,13,0,1865
27,0.010000,14,0,126
28,0.020000,1,0,34
29,0.020000,2,0,16
30,0.020000,3,0,75
31,0.020000,4,0,66
32,0.020000,5,0,1328
33,0.020000,6,0,39
34,0.020000,7,0,1865
35,0.020000,8,0,1865
36,0.020000,9,0,1865
37,0.020000,10,0,1865
38,0.020000,11,0,1865
39,0.020000,12,0,1865
40,0.020000,13,0,1865
41,0.020000,14,0,1865
42,0.030000,1,0,27
43,0.030000,2,0,32
44,0.030000,3,0,925
45,0.030000,4,0,1865
46,0.030000,5,0,1865
47,0.030000,6,0,1865
48,0.030000,7,0,259
49,0.030000,8,0,1865
50,0.030000,9,0,1865
51,0.030000,10,0,1865
52,0.030000,11,0,1467
53,0.030000,12,0,1865
54,0.030000,13,0,104
55,0.030000,14,0,413
56,0.040000,1,0,21
57,0.040000,2,0,114
58,0.040000,3,0,773
59,0.040000,4,0,1865
60,0.040000,5,0,1865
61,0.040000,6,0,1865
62,0.040000,7,0,1400
63,0.040000,8,0,105
64,0.040000,9,0,100
65,0.040000,10,0,125
66,0.040000,11,0,725
67,0.040000,12,0,104
68,0.040000,13,0,654
69,0.040000,14,0,87
70,0.050000,1,0,121
71,0.050000,2,0,1865
72,0.050000,3,0,1865
73,0.050000,4,0,535
74,0.050000,5,0,1865
75,0.050000,6,0,918
76,0.050000,7,0,211
77,0.050000,8,0,136
78,0.050000,9,0,89
79,0.050000,10,0,199
80,0.050000,11,0,107
81,0.050000,12,0,83
82,0.050000,13,0,84
83,0.050000,14,0,85
84,0.060000,1,0,89
85,0.060000,2,0,1865
86,0.060000,3,0,1865
87,0.060000,4,0,260
88,0.060000,5,0,101
89,0.060000,6,0,94
90,0.060000,7,0,232
91,0.060000,8,0,83
92,0.060000,9,0,182
93,0.060000,10,0,197
94,0.060000,11,0,175
95,0.060000,12,0,76
96,0.060000,13,0,75
97,0.060000,14,0,83
98,0.070000,1,0,220
99,0.070000,2,0,1189
100,0.070000,3,0,1865
101,0.070000,4,0,1040
102,0.070000,5,0,91
103,0.070000,6,0,224
104,0.070000,7,0,207
105,0.070000,8,0,200
106,0.070000,9,0,83
107,0.070000,10,0,73
108,0.070000,11,0,81
109,0.070000,12,0,87
110,0.070000,13,0,74
111,0.070000,14,0,75
112,0.080000,1,0,941
113,0.080000,2,0,29
114,0.080000,3,0,1865
115,0.080000,4,0,101
116,0.080000,5,0,212
117,0.080000,6,0,98
118,0.080000,7,0,78
119,0.080000,8,0,92
120,0.080000,9,0,86
121,0.080000,10,0,81
122,0.080000,11,0,77
123,0.080000,12,0,87
124,0.080000,13,0,85
125,0.080000,14,0,73
126,0.090000,1,0,22
127,0.090000,2,0,1865
128,0.090000,3,0,432
129,0.090000,4,0,101
130,0.090000,5,0,88
131,0.090000,6,0,89
132,0.090000,7,0,87
133,0.090000,8,0,73
134,0.090000,9,0,183
135,0.090000,10,0,73
136,0.090000,11,0,67
137,0.090000,12,0,83
138,0.090000,13,0,71
139,0.090000,14,0,73
140,0.100000,1,0,1865
141,0.100000,2,0,603
142,0.100000,3,0,99
143,0.100000,4,0,88
144,0.100000,5,0,183
145,0.100000,6,0,84
146,0.100000,7,0,188
147,0.100000,8,0,85
148,0.100000,9,0,77
149,0.100000,10,0,161
150,0.100000,11,0,169
151,0.100000,12,0,65
152,0.100000,13,0,69
153,0.100000,14,0,67
154,0.110000,1,0,1865
155,0.110000,2,0,247
156,0.110000,3,0,93
157,0.110000,4,0,19
158,0.110000,5,0,91
159,0.110000,6,0,73
160,0.110000,7,0,97
161,0.110000,8,0,67
162,0.110000,9,0,69
163,0.110000,10,0,67
164,0.110000,11,0,79
165,0.110000,12,0,77
166,0.110000,13,0,73
167,0.110000,14,0,73
168,0.120000,1,0,1865
169,0.120000,2,0,104
170,0.120000,3,0,84
171,0.120000,4,0,84
172,0.120000,5,0,69
173,0.120000,6,0,69
174,0.120000,7,0,85
175,0.120000,8,0,70
176,0.120000,9,0,81
177,0.120000,10,0,79
178,0.120000,11,0,67
179,0.120000,12,0,67
180,0.120000,13,0,63
181,0.120000,14,0,73
182,0.130000,1,0,1865
183,0.130000,2,0,205
184,0.130000,3,0,99
185,0.130000,4,0,75
186,0.130000,5,0,66
187,0.130000,6,0,77
188,0.130000,7,0,70
189,0.130000,8,0,70
190,0.130000,9,0,67
191,0.130000,10,0,66
192,0.130000,11,0,61
193,0.130000,12,0,61
194,0.130000,13,0,66
195,0.130000,14,0,64
196,0.140000,1,0,129
197,0.140000,2,0,109
198,0.140000,3,0,100
199,0.140000,4,0,67
200,0.140000,5,0,79
201,0.140000,6,0,69
202,0.140000,7,0,74
203,0.140000,8,0,73
204,0.140000,9,0,64
205,0.140000,10,0,59
206,0.140000,11,0,75
207,0.140000,12,0,60
208,0.140000,13,0,61
209,0.140000,14,0,69
210,0.150000,1,0,325
211,0.150000,2,0,189
212,0.150000,3,0,167
213,0.150000,4,0,73
214,0.150000,5,0,75
215,0.150000,6,0,77
216,0.150000,7,0,75
217,0.150000,8,0,61
218,0.150000,9,0,55
219,0.150000,10,0,84
220,0.150000,11,0,57
221,0.150000,12,0,63
222,0.150000,13,0,65
223,0.150000,14,0,51
224,0.160000,1,0,776
225,0.160000,2,0,77
226,0.160000,3,0,73
227,0.160000,4,0,69
228,0.160000,5,0,70
229,0.160000,6,0,82
230,0.160000,7,0,63
231,0.160000,8,0,63
232,0.160000,9,0,60
233,0.160000,10,0,59
234,0.160000,11,0,77
235,0.160000,12,0,57
236,0.160000,13,0,59
237,0.160000,14,0,65
238,0.170000,1,0,111
239,0.170000,2,0,90
240,0.170000,3,0,75
241,0.170000,4,0,76
242,0.170000,5,0,71
243,0.170000,6,0,77
244,0.170000,7,0,62
245,0.170000,8,0,53
246,0.170000,9,0,59
247,0.170000,10,0,59
248,0.170000,11,0,58
249,0.170000,12,0,55
250,0.170000,13,0,58
251,0.170000,14,0,56
252,0.180000,1,0,83
253,0.180000,2,0,81
254,0.180000,3,0,71
255,0.180000,4,0,67
256,0.180000,5,0,65
257,0.180000,6,0,71
258,0.180000,7,0,57
259,0.180000,8,0,64
260,0.180000,9,0,57
261,0.180000,10,0,57
262,0.180000,11,0,61
263,0.180000,12,0,57
264,0.180000,13,0,55
265,0.180000,14,0,70
266,0.190000,1,0,206
267,0.190000,2,0,84
268,0.190000,3,0,72
269,0.190000,4,0,72
270,0.190000,5,0,61
271,0.190000,6,0,57
272,0.190000,7,0,67
273,0.190000,8,0,57
274,0.190000,9,0,53
275,0.190000,10,0,55
276,0.190000,11,0,55
277,0.190000,12,0,53
278,0.190000,13,0,55
279,0.190000,14,0,53
